#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:35:48 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfdcb5f39b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/table1}&key:source=J/A+A/618/A93/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/618/A93/table1
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=r50
#-out=Nstars
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=plx
#-out=s_plx
#-out=e_plx
#-out=dmode
#-out=dmode+01
#-out=dmode-01
#-out=X
#-out=Y
#-out=Z
#-out=Rgc
#-out=SimbadName
#

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#Table	J_A_A_618_A93_table1:
#Name: J/A+A/618/A93/table1
#Title: Summary of mean parameters for the OCs characterised in this study
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000. (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(a17)	Cluster name (cluster)	[ucd=meta.id.parent]
#Column	RAJ2000	(F7.3)	[] Mean right ascension of members (J2000) (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	Mean declination of members (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F7.3)	Mean Galactic longitude of members (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F7.3)	Mean Galactic latitude of members (b)	[ucd=pos.galactic.lat]
#Column	r50	(F6.3)	Radius containing half the members (r50)	[ucd=phys.angSize;src]
#Column	Nstars	(I4)	Number of members (probability over 0.5) (nbstars)	[ucd=meta.number]
#Column	pmRA	(F7.3)	Mean proper motion along RA of members (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F6.3)	Standard deviation of pmRA of members (sigpmra)	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members(pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F6.3)	Standard deviation of pmdec of members (sigpmdec)	[ucd=stat.stdev]
#Column	plx	(F6.3)	Mean parallax of members (par)	[ucd=pos.parallax.trig]
#Column	s_plx	(F6.3)	Standard deviation of parallax of members (sigpar)	[ucd=stat.stdev;pos.parallax]
#Column	e_plx	(F6.3)	Standard deviation of parallax of members over square root of nbstars (uncertpar)	[ucd=stat.error;pos.parallax]
#Column	dmode	(F7.1)	Most likely distance (dmode)	[ucd=pos.distance]
#Column	dmode+01	(F6.1)	Distance if +0.1mas added to parallax (dmodePLUS01)	[ucd=pos.distance]
#Column	dmode-01	(F7.1)	? Distance if -0.1mas added to parallax null if mean parallax under 0.1mas (dmodeMINUS01)	[ucd=pos.distance]
#Column	X	(F8.1)	X coordinate in Galactic coordinates (X)	[ucd=pos.cartesian.x;pos.galactic]
#Column	Y	(F8.1)	Y coordinate in Galactic coordinates (Y)	[ucd=pos.cartesian.y;pos.galactic]
#Column	Z	(F7.1)	Z coordinate in Galactic coordinates (Z)	[ucd=pos.cartesian.z;pos.galactic]
#Column	Rgc	(F7.1)	Distance from Galactic centre assuming the Sun is at 8340pc (Rgc)	[ucd=pos.distance]
#Column	SimbadName	(a25)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Cluster;RAJ2000;DEJ2000;GLON;GLAT;r50;Nstars;pmRA;s_pmRA;pmDE;s_pmDE;plx;s_plx;e_plx;dmode;dmode+01;dmode-01;X;Y;Z;Rgc;SimbadName
deg;deg; ;deg;deg;deg;deg;deg; ;mas/yr;mas/yr;mas/yr;mas/yr;mas;mas;mas;pc;pc;pc;pc;pc;pc;pc;
---------;---------;-----------------;-------;-------;-------;-------;------;----;-------;------;-------;------;------;------;------;-------;------;-------;--------;--------;-------;-------;-------------------------
051.87000;+34.98100;ASCC_10          ;051.870;+34.981;155.723;-17.770; 0.558;  71; -1.737; 0.159; -1.368; 0.143; 1.459; 0.100; 0.013;  672.0; 629.6;  720.4;  -583.3;   263.1; -205.1; 8927.2;[KPR2005] 10
288.39900;+36.36900;ASCC_101         ;288.399;+36.369; 68.028; 11.608; 0.372;  75;  0.934; 0.205;  1.288; 0.258; 2.488; 0.057; 0.008;  397.3; 382.2;  413.8;   145.6;   360.9;   79.9; 8202.3;[KPR2005] 101
295.54800;+27.36600;ASCC_105         ;295.548;+27.366; 62.825;  2.063; 0.648; 127;  1.464; 0.162; -1.635; 0.145; 1.783; 0.065; 0.006;  551.8; 522.9;  584.0;   251.8;   490.5;   19.9; 8103.0;[KPR2005] 105
297.16400;+21.98700;ASCC_107         ;297.164;+21.987; 58.904; -1.901; 0.174;  59; -0.155; 0.101; -5.156; 0.115; 1.109; 0.049; 0.007;  878.5; 807.6;  963.1;   453.5;   751.9;  -29.2; 7922.3;[KPR2005] 107
298.30600;+39.34900;ASCC_108         ;298.306;+39.349; 74.378;  6.074; 0.537; 230; -0.519; 0.099; -1.690; 0.129; 0.838; 0.048; 0.003; 1154.0;1034.6; 1304.5;   309.0;  1105.1;  122.1; 8106.7;[KPR2005] 108
053.05600;+44.85600;ASCC_11          ;053.056;+44.856;150.546; -9.224; 0.312; 276;  0.926; 0.163; -3.030; 0.147; 1.141; 0.061; 0.004;  854.5; 787.2;  934.3;  -734.4;   414.7; -137.0; 9083.9;[KPR2005] 11
300.74200;+33.52800;ASCC_110         ;300.742;+33.528; 70.411;  1.378; 0.203;  70;  0.271; 0.064; -3.132; 0.050; 0.497; 0.036; 0.004; 1902.2;1598.2; 2349.1;   637.6;  1791.6;   45.7; 7908.1;[KPR2005] 110
302.89100;+37.51500;ASCC_111         ;302.891;+37.515; 74.714;  2.056; 0.537; 156; -1.150; 0.151; -1.524; 0.154; 1.166; 0.059; 0.005;  836.9; 772.3;  913.4;   220.5;   806.8;   30.0; 8159.5;[KPR2005] 111
317.93300;+38.63800;ASCC_113         ;317.933;+38.638; 82.877; -6.589; 0.529; 196;  0.800; 0.125; -3.679; 0.163; 1.762; 0.041; 0.003;  558.2; 528.7;  591.2;    68.8;   550.3;  -64.1; 8289.5;[KPR2005] 113
324.99000;+53.99700;ASCC_114         ;324.990;+53.997; 97.082;  1.028; 0.216; 150; -3.716; 0.110; -3.421; 0.115; 1.066; 0.037; 0.003;  913.2; 836.8; 1005.0;  -112.6;   906.1;   16.4; 8501.0;[KPR2005] 114
329.28000;+51.55800;ASCC_115         ;329.280;+51.558; 97.528; -2.504; 0.250;  39; -0.549; 0.068; -0.543; 0.088; 1.311; 0.034; 0.005;  746.0; 694.2;  806.2;   -97.6;   738.9;  -32.6; 8469.9;[KPR2005] 115
072.40000;+41.74400;ASCC_12          ;072.400;+41.744;162.986; -1.893; 0.303; 162; -0.634; 0.181; -2.794; 0.122; 0.941; 0.069; 0.006; 1030.7; 934.3; 1149.1;  -985.0;   301.4;  -34.0; 9329.9;[KPR2005] 12
340.29900;+53.98600;ASCC_123         ;340.299;+53.986;104.434; -4.141; 1.294;  55; 12.093; 0.473; -1.407; 0.437; 4.262; 0.172; 0.022;  233.1; 227.7;  238.6;   -57.9;   225.1;  -16.8; 8401.0;[KPR2005] 123
347.20500;+64.97400;ASCC_127         ;347.205;+64.974;112.349;  4.232; 0.627; 122;  7.474; 0.260; -1.745; 0.263; 2.633; 0.081; 0.008;  375.6; 362.0;  390.3;  -142.4;   346.5;   27.7; 8489.5;[KPR2005] 127
349.94900;+54.43500;ASCC_128         ;349.949;+54.435;109.770; -6.078; 0.513;  72;  1.236; 0.139;  0.186; 0.114; 1.509; 0.058; 0.007;  650.3; 610.6;  695.6;  -218.7;   608.6;  -68.9; 8580.3;[KPR2005] 128
078.25500;+44.41700;ASCC_13          ;078.255;+44.417;163.502;  3.122; 0.609; 110; -0.473; 0.097; -1.743; 0.111; 0.898; 0.067; 0.007; 1078.2; 973.2; 1208.5; -1032.3;   305.7;   58.7; 9377.3;[KPR2005] 13
