#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T22:15:17 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ec07e7139633	
#INFO	-out.max=unlimited	
#INFO	queryParameters=38	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/661/A118&tab:{J/A+A/661/A118/table1}&key:source=J/A+A/661/A118/table1&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/661/A118/table1
#-order=I
#-out=Seq
#-out=Cluster
#-out=RA_ICRS
#-out=s_RA_ICRS
#-out=DE_ICRS
#-out=s_DE_ICRS
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=plx
#-out=s_plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=Nmemb
#-out=NmembRV
#-out=Flag
#-out=logAge
#-out=Dist
#-out=AV
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36610118
#Name: J/A+A/661/A118
#Title: 628 new open clusters found with OCfinder (Castro-Ginard+, 2022)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_661_A118_table1:
#Name: J/A+A/661/A118/table1
#Title: Mean parameters for the reported UBC clusters
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Seq	(I3)	[0/627] cluster sequential number	[ucd=meta.record]
#Column	Cluster	(A7)	Cluster name (UBCNNN)	[ucd=meta.id.parent]
#Column	RA_ICRS	(F6.2)	Right Ascension mean (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	s_RA_ICRS	(F6.2)	Right Ascension standard deviation	[ucd=pos.eq.ra]
#Column	DE_ICRS	(F6.2)	Declination mean (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	s_DE_ICRS	(F5.2)	Declination standard deviation	[ucd=stat.stdev;pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude mean	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Galactic longitude standard deviation	[ucd=stat.stdev;pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude mean	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Galactic latitude standard deviation	[ucd=stat.stdev;pos.galactic.lat]
#Column	plx	(F5.2)	Parallax mean	[ucd=pos.parallax;stat.mean]
#Column	s_plx	(F5.2)	Parallax standard deviation	[ucd=stat.stdev;pos.parallax]
#Column	pmRA	(F5.2)	Proper motion in right ascension mean, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	Proper motion in right ascension standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.2)	Proper motion in declination mean	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	Proper motion in declination standard deviation	[ucd=stat.stdev;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial velocity mean	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F5.2)	? Radial velocity standard deviation	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	Nmemb	(I3)	Number of cluster members	[ucd=meta.number]
#Column	NmembRV	(I1)	Number of cluster members with radial velocity measurements	[ucd=meta.number]
#Column	Flag	(A1)	[a] Note (1)	[ucd=meta.code.error]
#Column	logAge	(F6.3)	Logarithm of the cluster age	[ucd=time.age]
#Column	Dist	(F6.1)	Distance to the cluster	[ucd=pos.distance]
#Column	AV	(F6.3)	Line-of-sight extinction	[ucd=phys.absorption]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Seq;Cluster;RA_ICRS;s_RA_ICRS;DE_ICRS;s_DE_ICRS;GLON;s_GLON;GLAT;s_GLAT;plx;s_plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;Nmemb;NmembRV;Flag;logAge;Dist;AV;_RA.icrs;_DE.icrs
deg;deg; ; ;deg;deg;deg;deg;deg;deg;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr;km/s;km/s; ; ; ;[yr];pc; ;deg;deg
--------;--------;---;-------;------;------;------;-----;------;-----;------;-----;-----;-----;-----;-----;-----;-----;------;-----;---;-;-;------;------;------;--------;--------
267.3600;-29.2300;  0;UBC1001;267.36;  0.10;-29.23; 0.04;  0.18; 0.05; -0.86; 0.08; 0.37; 0.01; 0.42; 0.08;-1.94; 0.06;      ;     ; 29;0;a; 7.464;2786.0; 1.914;267.3600;-29.2300
268.1100;-28.2000;  1;UBC1002;268.11;  0.05;-28.20; 0.07;  1.40; 0.06; -0.90; 0.05; 0.28; 0.03; 0.01; 0.06;-1.96; 0.06;-14.88;     ; 71;1; ; 8.339;3233.0; 2.314;268.1100;-28.2000
268.6000;-24.8900;  2;UBC1003;268.60;  0.05;-24.89; 0.05;  4.48; 0.05;  0.40; 0.05; 0.39; 0.02;-0.58; 0.09;-3.11; 0.06;      ;     ; 44;0; ; 7.782;2809.0; 2.659;268.6000;-24.8900
270.5600;-25.0700;  3;UBC1004;270.56;  0.07;-25.07; 0.06;  5.21; 0.07; -1.23; 0.06; 0.38; 0.04;-0.90; 0.11;-2.40; 0.10; -5.24; 2.12;418;2; ; 8.497;2436.0; 2.318;270.5600;-25.0700
272.1800;-21.4200;  4;UBC1005;272.18;  0.06;-21.42; 0.08;  9.12; 0.08; -0.75; 0.06; 0.66; 0.01;-0.71; 0.07;-1.35; 0.06;      ;     ; 31;0;a; 7.371;1542.0; 1.230;272.1800;-21.4200
272.4500;-21.4800;  5;UBC1006;272.45;  0.07;-21.48; 0.08;  9.19; 0.07; -0.99; 0.07; 0.37; 0.02; 0.07; 0.08;-1.06; 0.07; 10.21; 0.59; 77;2; ; 8.020;2987.0; 2.276;272.4500;-21.4800
270.8000;-19.3500;  6;UBC1007;270.80;  0.05;-19.35; 0.05; 10.30; 0.06;  1.40; 0.05; 0.65; 0.02; 0.05; 0.07;-1.08; 0.09;      ;     ; 32;0; ; 7.893;1602.0; 1.928;270.8000;-19.3500
273.3400;-19.0300;  7;UBC1008;273.34;  0.06;-19.03; 0.08; 11.74; 0.08; -0.54; 0.07; 0.34; 0.02;-0.84; 0.06;-1.82; 0.06;      ;     ; 29;0; ; 7.840;3182.0; 1.282;273.3400;-19.0300
273.5000;-19.0500;  8;UBC1009;273.50;  0.06;-19.05; 0.07; 11.79; 0.08; -0.69; 0.05; 0.33; 0.02;-0.36; 0.09;-1.19; 0.09;      ;     ; 46;0; ; 7.737;2753.0; 1.272;273.5000;-19.0500
274.5000;-18.5400;  9;UBC1010;274.50;  0.06;-18.54; 0.07; 12.69; 0.07; -1.28; 0.05; 0.37; 0.02;-0.01; 0.05;-0.50; 0.08;      ;     ; 46;0;a; 8.341;2634.0; 1.084;274.5000;-18.5400
274.1000;-18.1100; 10;UBC1011;274.10;  0.06;-18.11; 0.07; 12.89; 0.07; -0.74; 0.06; 0.34; 0.04;-1.11; 0.10;-2.64; 0.09;  9.39; 8.93;235;2; ; 7.733;2804.0; 2.744;274.1000;-18.1100
273.0300;-15.9800; 11;UBC1012;273.03;  0.05;-15.98; 0.04; 14.27; 0.05;  1.18; 0.04; 0.39; 0.03; 0.36; 0.09;-0.69; 0.09;      ;     ; 44;0;a; 8.893;2871.0; 2.394;273.0300;-15.9800
273.1300;-15.3300; 12;UBC1013;273.13;  0.11;-15.33; 0.11; 14.89; 0.11;  1.41; 0.10; 0.58; 0.02;-0.24; 0.07;-1.76; 0.09;      ;     ; 50;0; ; 7.045;1839.0; 1.198;273.1300;-15.3300
276.5500;-15.1500; 13;UBC1014;276.55;  0.09;-15.15; 0.08; 16.61; 0.09; -1.42; 0.07; 0.48; 0.01;-0.72; 0.06;-2.73; 0.06;      ;     ; 28;0; ; 6.993;2126.0; 1.899;276.5500;-15.1500
276.7400;-14.1100; 14;UBC1015;276.74;  0.08;-14.11; 0.08; 17.62; 0.08; -1.09; 0.08; 0.30; 0.05;-0.77; 0.10;-2.12; 0.11;  3.74;17.66;565;4; ; 8.399;3323.0; 2.607;276.7400;-14.1100
278.3200;-14.2600; 15;UBC1016;278.32;  0.08;-14.26; 0.06; 18.19; 0.06; -2.52; 0.08; 0.56; 0.01; 0.11; 0.05; 0.97; 0.06;      ;     ; 22;0; ; 8.078;1901.0; 1.253;278.3200;-14.2600
275.3500;-12.6300; 16;UBC1017;275.35;  0.06;-12.63; 0.07; 18.29; 0.06;  0.79; 0.07; 0.56; 0.02;-1.06; 0.06;-2.49; 0.06;      ;     ; 26;0; ; 7.547;2011.0; 2.274;275.3500;-12.6300
