#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-14T21:33:37 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63ebfe1663d08	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/260/8&tab:{J/ApJS/260/8/params}&key:source=J/ApJS/260/8/params&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/260/8/params
#-order=I
#-out=Cluster
#-out=GLON
#-out=s_GLON
#-out=GLAT
#-out=s_GLAT
#-out=Plx
#-out=s_Plx
#-out=pmRA
#-out=s_pmRA
#-out=pmDE
#-out=s_pmDE
#-out=RV
#-out=s_RV
#-out=o_RV
#-out=m-M
#-out=AG
#-out=logAge
#-out=Z
#-out=N70
#-out=minProb
#-out=NminProb
#-out=Class
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_22600008
#Name: J/ApJS/260/8
#Title: 541 new open cluster candidates (He+, 2022)
#Coosys	G:	galactic
#Table	J_ApJS_260_8_params:
#Name: J/ApJS/260/8/params
#Title: Parameters of median astrometric values and isochrone fits for 541 new open cluster candidates
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Cluster	(I3)	[1/541] Cluster CWNU ID (cluster)	[ucd=meta.id;meta.main]
#Column	GLON	(F7.3)	Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	s_GLON	(F5.2)	Longitude dispersion (sigma_l)	[ucd=instr.dispersion]
#Column	GLAT	(F7.3)	Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	s_GLAT	(F5.2)	Latitude dispersion (sigma_b)	[ucd=instr.dispersion]
#Column	Plx	(F5.2)	Parallax (Parallax)	[ucd=pos.parallax]
#Column	s_Plx	(F5.2)	Parallax dispersion (sigma_Parallax)	[ucd=stat.error]
#Column	pmRA	(F6.2)	Proper motion along RA, pmRA*cosDE (pmRA*)	[ucd=pos.pm;pos.eq.ra]
#Column	s_pmRA	(F5.2)	pmRA dispersion (sigma_pmRA*)	[ucd=pos.pm]
#Column	pmDE	(F6.2)	Proper motion along DE (pmDEC)	[ucd=pos.pm;pos.eq.dec]
#Column	s_pmDE	(F5.2)	pmDE dispersion (sigma_pmDEC)	[ucd=pos.pm]
#Column	RV	(A5)	? Radial velocity (RV)	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(A4)	? RV dispersion (sigma_RV)	[ucd=instr.dispersion]
#Column	o_RV	(I1)	? Stars used to compute RV (N_RV) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	m-M	(F5.2)	RV dispersion (N_RV>1)|RV error(N_RV=1)) (m-M)	[ucd=stat.variance]
#Column	AG	(F5.2)	G band extinction (A_G)	[ucd=phys.absorption]
#Column	logAge	(F4.1)	Logarithmic age (log(age/yr))	[ucd=time.age]
#Column	Z	(F6.3)	Metallicity (Z)	[ucd=phys.abund.Z]
#Column	N70	(I3)	Number of member stars with Pcl>0.7 (N_70)	[ucd=meta.number]
#Column	minProb	(F5.2)	Minimum Pcl used for statistics (min_prob)	[ucd=stat.fit.goodness]
#Column	NminProb	(I3)	Number of member stars with Pcl>minProb (N_min_prob)	[ucd=meta.number]
#Column	Class	(I1)	[1/3] Classification (class)	[ucd=meta.code.class]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
_RAJ2000;_DEJ2000;Cluster;GLON;s_GLON;GLAT;s_GLAT;Plx;s_Plx;pmRA;s_pmRA;pmDE;s_pmDE;RV;s_RV;o_RV;m-M;AG;logAge;Z;N70;minProb;NminProb;Class;_RA.icrs;_DE.icrs
deg;deg; ;deg;deg;deg;deg;mas;mas;mas/yr;mas/yr;mas/yr;mas/yr;km/s;km/s; ; ;mag;[yr]; ; ; ; ; ;deg;deg
---------;---------;---;-------;-----;-------;-----;-----;-----;------;-----;------;-----;-----;----;-;-----;-----;----;------;---;-----;---;-;--------;--------
259.25748;-41.69210;  1;346.147; 0.06;-02.132; 0.06; 0.60; 0.06; -0.03; 0.12; -3.58; 0.08;-18.1; 0.2;1;10.60; 2.60; 8.3; 0.008;115; 0.70;115;1;259.2575;-41.6921
140.05781;-66.04034;  2;283.662; 0.61;-11.431; 0.22; 1.39; 0.04; -9.45; 0.14;  5.90; 0.23;  8.6; 3.3;3; 9.50; 0.45; 7.7; 0.036; 24; 1.00; 24;1;140.0578;-66.0403
032.99969;+64.60747;  3;131.435; 0.20;+03.074; 0.19; 1.28; 0.03; -2.42; 0.09; -1.06; 0.09; -7.6;17.8;2; 9.20; 1.45; 7.6; 0.006; 48; 0.96; 48;1;032.9997;+64.6075
259.84564;-39.06858;  4;348.551; 0.05;-00.988; 0.06; 0.60; 0.04;  0.99; 0.12; -1.14; 0.07;  ---; ---;0;11.10; 2.60; 8.4; 0.030; 55; 0.73; 55;1;259.8456;-39.0686
074.55118;+26.19227;  5;176.325; 0.24;-10.221; 0.17; 2.27; 0.12;  1.27; 0.17; -5.95; 0.24; 18.9; 8.5;1; 8.75; 1.20; 6.8; 0.022; 26; 0.40; 30;1;074.5512;+26.1923
230.00927;-56.21413;  6;322.557; 0.16;+00.888; 0.17; 0.60; 0.03; -5.05; 0.15; -3.01; 0.09;-34.0; 1.7;2;10.50; 1.50; 8.9; 0.022; 27; 0.60; 32;1;230.0093;-56.2141
240.02530;-59.09481;  7;325.134; 0.17;-04.615; 0.05; 0.74; 0.06; -2.72; 0.18; -1.02; 0.17;  ---; ---;0;10.95; 0.65; 8.4; 0.040; 47; 0.71; 47;1;240.0253;-59.0948
109.16765;-18.95504;  8;232.626; 0.61;-03.189; 0.30; 1.02; 0.09; -3.72; 0.34;  4.31; 0.23;  ---; ---;0; 9.95; 0.25; 7.8; 0.022; 43; 0.71; 43;1;109.1676;-18.9550
098.34692;-08.06842;  9;218.107; 0.18;-07.662; 0.15; 0.99; 0.04; -3.38; 0.10;  0.68; 0.13;  ---; ---;0; 9.80; 1.10; 7.0; 0.006; 23; 0.50; 41;1;098.3469;-08.0684
095.28116;+18.87079; 10;192.751; 0.21;+02.087; 0.13; 1.01; 0.07; -1.74; 0.21; -2.85; 0.08;  ---; ---;0;10.35; 0.65; 8.4; 0.040; 42; 0.84; 42;1;095.2812;+18.8708
090.91512;+18.26278; 11;191.296; 0.16;-01.835; 0.15; 1.08; 0.06; -0.17; 0.11; -1.50; 0.09;  ---; ---;0; 9.60; 0.95; 7.8; 0.004; 32; 0.74; 32;1;090.9151;+18.2628
124.54502;-43.75558; 12;260.616; 0.25;-04.463; 0.11; 0.70; 0.03; -5.01; 0.12;  4.47; 0.10;  ---; ---;0;11.05; 0.85; 7.4; 0.026; 69; 0.71; 69;1;124.5450;-43.7556
317.50620;+47.52981; 13;089.188; 0.08;-00.303; 0.08; 0.49; 0.03; -2.53; 0.08; -4.01; 0.07;-18.4; 0.2;1;11.45; 1.60; 7.6; 0.040;109; 0.70;109;1;317.5062;+47.5298
014.63768;+53.70402; 14;123.998; 0.47;-09.153; 0.53; 1.55; 0.07; -4.22; 0.34; -2.52; 0.23;-20.5; 0.7;2; 9.50; 0.70; 7.7; 0.028; 48; 0.96; 48;1;014.6377;+53.7040
087.48013;+26.16587; 15;182.864; 0.27;-00.617; 0.17; 0.88; 0.05; -0.39; 0.22; -2.70; 0.25;  ---; ---;0; 9.85; 1.20; 7.5; 0.002; 29; 0.01; 50;1;087.4801;+26.1659
039.94665;+48.73744; 16;140.707; 0.14;-10.359; 0.14; 0.95; 0.04;  2.70; 0.24; -4.84; 0.26; -1.0; 6.5;2; 9.75; 0.45; 9.0; 0.006; 32; 0.92; 32;1;039.9467;+48.7374
056.33410;+50.72807; 17;148.794; 0.07;-03.200; 0.06; 0.33; 0.06;  0.80; 0.06; -1.25; 0.09;  ---; ---;0;12.40; 2.35; 8.9; 0.032;108; 0.70;108;1;056.3341;+50.7281
089.46891;-14.01127; 18;219.760; 0.38;-18.082; 0.29; 1.48; 0.09; -1.84; 0.33;  1.64; 0.25; 24.2;13.8;4; 8.60; 0.75; 7.1; 0.018;103; 0.71;103;1;089.4689;-14.0113
228.54004;-54.52160; 19;322.743; 0.09;+02.766; 0.07; 0.46; 0.03; -0.70; 0.10; -1.74; 0.08;  ---; ---;0;12.60; 1.75; 7.0; 0.038; 29; 0.61; 35;1;228.5400;-54.5216
099.84761;-31.52062; 20;240.523; 0.40;-16.156; 0.53; 1.51; 0.11; -2.99; 0.41;  4.43; 0.22; 24.1; 5.5;1; 9.85; 0.25; 6.6; 0.008; 40; 1.00; 40;1;099.8476;-31.5206
230.57786;-58.23966; 21;321.720; 0.10;-00.982; 0.05; 0.60; 0.03; -4.01; 0.07; -5.90; 0.06;-46.5; 0.0;3;11.00; 3.20; 8.6; 0.020; 38; 0.71; 38;1;230.5779;-58.2397
077.12687;+42.08561; 22;164.896; 0.14;+01.080; 0.17; 0.78; 0.04; -0.26; 0.15; -2.44; 0.16;  ---; ---;0;10.35; 0.75; 7.5; 0.010; 49; 0.74; 49;1;077.1269;+42.0856
342.91227;+61.65034; 23;109.211; 0.05;+02.012; 0.11; 0.26; 0.05; -2.89; 0.09; -1.58; 0.07;-64.6; 0.5;1;12.70; 3.50; 6.8; 0.040; 58; 0.70; 58;1;342.9123;+61.6503
094.37662;+14.62247; 24;196.087; 0.11;-00.683; 0.06; 0.42; 0.04; -0.20; 0.08; -1.26; 0.10;  ---; ---;0;12.10; 1.15; 7.6; 0.040; 28; 0.60; 34;1;094.3766;+14.6225
133.39394;-25.05869; 25;249.878; 0.15;+12.502; 0.46; 1.04; 0.08; -6.30; 0.41;  2.46; 0.40;  ---; ---;0;11.00; 0.10; 6.6; 0.004; 12; 0.10; 31;1;133.3939;-25.0587
093.84598;+13.78430; 26;196.580; 0.09;-01.534; 0.07; 0.44; 0.03; -0.56; 0.27; -1.07; 0.13;  ---; ---;0;11.25; 1.00; 8.2; 0.010; 52; 0.71; 52;1;093.8460;+13.7843
196.31894;-57.05596; 27;304.822; 0.13;+05.765; 0.24; 0.86; 0.04; -6.21; 0.12; -0.83; 0.10;  8.3;12.9;1;11.05; 1.00; 7.1; 0.032; 84; 0.70; 84;1;196.3189;-57.0560
280.38773;-06.00696; 28;026.461; 0.04;-00.547; 0.02; 0.35; 0.02; -1.53; 0.05; -4.08; 0.05;-12.9; 3.0;2;11.70; 1.50; 9.0; 0.040; 46; 0.70; 46;1;280.3877;-06.0070
132.68697;-72.62503; 29;287.158; 0.45;-17.637; 0.46; 1.68; 0.12; -6.32; 0.55;  8.42; 0.40; 11.2; 4.5;2; 8.85; 0.05; 9.0; 0.026; 33; 1.00; 33;1;132.6870;-72.6250
305.90772;+31.06303; 30;070.765; 0.09;-03.623; 0.07; 0.56; 0.04; -2.13; 0.06; -5.15; 0.08; 26.4; 1.0;1;11.40; 1.55; 8.7; 0.034; 51; 0.70; 51;1;305.9077;+31.0630
217.73365;-60.39832; 31;314.924; 0.10;+00.136; 0.09; 0.42; 0.02; -4.87; 0.10; -3.03; 0.06;  ---; ---;0;11.75; 2.15; 7.3; 0.036; 41; 0.71; 41;1;217.7337;-60.3983
262.54727;-38.20297; 32;350.453; 0.08;-02.248; 0.03; 0.54; 0.04;  0.53; 0.07; -0.24; 0.08;  ---; ---;0;12.10; 2.25; 7.0; 0.032; 25; 0.50; 34;1;262.5473;-38.2030
075.63881;+19.68827; 33;182.278; 0.10;-13.278; 0.11; 0.75; 0.04;  0.47; 0.08; -3.60; 0.08;  ---; ---;0;10.85; 1.25; 8.8; 0.036; 30; 0.76; 30;1;075.6388;+19.6883
106.09559;-23.95046; 34;235.799; 0.29;-08.001; 0.21; 1.28; 0.05; -3.68; 0.18;  3.40; 0.09;  ---; ---;0; 9.60; 0.05; 7.3; 0.034; 31; 0.70; 31;1;106.0956;-23.9505
092.91896;-16.53864; 35;223.601; 0.31;-16.086; 0.26; 1.65; 0.04; -1.54; 0.28;  1.74; 0.27;  9.8; 1.5;1; 8.60; 0.05; 7.7; 0.028; 28; 0.60; 30;1;092.9190;-16.5386
105.11362;-09.76867; 36;222.652; 0.27;-02.457; 0.18; 0.65; 0.03; -0.78; 0.16;  0.28; 0.14; 59.2; 0.6;1;11.10; 1.15; 8.7; 0.038; 30; 0.74; 30;1;105.1136;-09.7687
276.72990;-12.51524; 37;019.022; 0.09;-00.346; 0.07; 0.47; 0.05;  0.88; 0.07;  0.90; 0.11;  ---; ---;0;10.95; 1.95; 9.4; 0.038; 58; 0.78; 58;1;276.7299;-12.5152
013.56488;+55.92957; 38;123.330; 0.18;-06.940; 0.18; 0.89; 0.07; -0.58; 0.17; -0.53; 0.18;  ---; ---;0;10.20; 0.85; 7.8; 0.010; 32; 0.72; 32;1;013.5649;+55.9296
092.63355;+23.34572; 39;187.637; 0.19;+02.042; 0.20; 0.51; 0.05; -0.32; 0.09; -1.76; 0.12;  ---; ---;0;11.40; 1.20; 7.5; 0.008; 67; 0.71; 67;1;092.6335;+23.3457
316.59617;+46.85271; 40;088.271; 0.15;-00.306; 0.09; 0.78; 0.03; -1.42; 0.12; -4.46; 0.12;  0.2; 4.0;2; 9.90; 0.60; 9.0; 0.008; 33; 0.72; 33;1;316.5962;+46.8527
225.58807;-71.00974; 41;313.250; 0.37;-10.809; 0.19; 1.34; 0.05; -4.99; 0.26; -6.93; 0.17;  ---; ---;0; 9.65; 0.45; 7.8; 0.022; 37; 0.84; 37;1;225.5881;-71.0097
318.25136;+46.07017; 42;088.473; 0.07;-01.674; 0.04; 0.41; 0.05;  0.06; 0.06; -1.64; 0.08;  ---; ---;0;11.70; 1.30; 7.5; 0.020; 42; 0.71; 42;1;318.2514;+46.0702
